Region,season,year,Metrics,values
Western North Island,Autumn,2014,Maximum_Intensity,1.252978747
Western North Island,Autumn,2014,Cumulative_Intensity,15.14615683
Western North Island,Autumn,2015,Number_MHW_days,63.71428571
Western North Island,Autumn,2015,Nevents,2.952380952
Western North Island,Autumn,2015,Mean_Intensity,1.434357293
Western North Island,Autumn,2015,Maximum_Intensity,2.137014347
Western North Island,Autumn,2015,Cumulative_Intensity,91.42530492
Western North Island,Autumn,2016,Number_MHW_days,91.42857143
Western North Island,Autumn,2016,Nevents,1
Western North Island,Autumn,2016,Mean_Intensity,1.932860698
Western North Island,Autumn,2016,Maximum_Intensity,2.731014308
Western North Island,Autumn,2016,Cumulative_Intensity,176.7733229
Western North Island,Autumn,2017,Number_MHW_days,7.142857143
Western North Island,Autumn,2017,Nevents,0.714285714
Western North Island,Autumn,2017,Mean_Intensity,1.220465127
Western North Island,Autumn,2017,Maximum_Intensity,1.405940056
Western North Island,Autumn,2017,Cumulative_Intensity,8.56029538
Western North Island,Autumn,2018,Number_MHW_days,62.0952381
Western North Island,Autumn,2018,Nevents,2.666666667
Western North Island,Autumn,2018,Mean_Intensity,1.476000382
Western North Island,Autumn,2018,Maximum_Intensity,2.248385791
Western North Island,Autumn,2018,Cumulative_Intensity,90.88022364
Western North Island,Autumn,2019,Number_MHW_days,35.61904762
Western North Island,Autumn,2019,Nevents,2.142857143
Western North Island,Autumn,2019,Mean_Intensity,1.503087921
Western North Island,Autumn,2019,Maximum_Intensity,2.062071232
Western North Island,Autumn,2019,Cumulative_Intensity,52.44631519
Western North Island,Autumn,2020,Number_MHW_days,5.238095238
Western North Island,Autumn,2020,Nevents,0.380952381
Western North Island,Autumn,2020,Mean_Intensity,1.273983998
Western North Island,Autumn,2020,Maximum_Intensity,1.620362614
Western North Island,Autumn,2020,Cumulative_Intensity,6.813195067
Western North Island,Autumn,2021,Number_MHW_days,41.04761905
Western North Island,Autumn,2021,Nevents,2.380952381
Western North Island,Autumn,2021,Mean_Intensity,1.154861525
Western North Island,Autumn,2021,Maximum_Intensity,1.570371407
Western North Island,Autumn,2021,Cumulative_Intensity,47.23513941
Western North Island,Winter,1982,Number_MHW_days,0
Western North Island,Winter,1982,Nevents,0
Western North Island,Winter,1982,Mean_Intensity,0
Western North Island,Winter,1982,Maximum_Intensity,0
Western North Island,Winter,1982,Cumulative_Intensity,0
Western North Island,Winter,1983,Number_MHW_days,0
Western North Island,Winter,1983,Nevents,0
Western North Island,Winter,1983,Mean_Intensity,0
Western North Island,Winter,1983,Maximum_Intensity,0
