ECOREGION,season,year,Metrics,values
Kermadec Island,Winter,1991,Number_MHW_days,0
Kermadec Island,Winter,1991,Nevents,0
Kermadec Island,Winter,1991,Mean_Intensity,0
Kermadec Island,Winter,1991,Maximum_Intensity,0
Kermadec Island,Winter,1991,Cumulative_Intensity,0
Kermadec Island,Winter,1992,Number_MHW_days,0
Kermadec Island,Winter,1992,Nevents,0
Kermadec Island,Winter,1992,Mean_Intensity,0
Kermadec Island,Winter,1992,Maximum_Intensity,0
Kermadec Island,Winter,1992,Cumulative_Intensity,0
Kermadec Island,Winter,1993,Number_MHW_days,0
Kermadec Island,Winter,1993,Nevents,0
Kermadec Island,Winter,1993,Mean_Intensity,0
Kermadec Island,Winter,1993,Maximum_Intensity,0
Kermadec Island,Winter,1993,Cumulative_Intensity,0
Kermadec Island,Winter,1994,Number_MHW_days,0
Kermadec Island,Winter,1994,Nevents,0
Kermadec Island,Winter,1994,Mean_Intensity,0
Kermadec Island,Winter,1994,Maximum_Intensity,0
Kermadec Island,Winter,1994,Cumulative_Intensity,0
Kermadec Island,Winter,1995,Number_MHW_days,0
Kermadec Island,Winter,1995,Nevents,0
Kermadec Island,Winter,1995,Mean_Intensity,0
